,Date,Timestamp,Liquity,Liquity,Liquity,Liquity,Liquity,Liquity
,,,CDP,CDP,CDP,CDP,CDP,CDP
,,,ethereum,Total,ethereum,Total,ethereum,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens,Tokens
,,,,,WETH,WETH,WETH,WETH
,29/07/2022,1659052800,573185318.9418203,573185318.9418203,573185318.9418203,573185318.9418203,332325.6544013522,332325.6544013522
,30/07/2022,1659139200,573086589.6344349,573086589.6344349,573086589.6344349,573086589.6344349,332008.54496468086,332008.54496468086
,31/07/2022,1659225600,564729298.4388509,564729298.4388509,564729298.4388509,564729298.4388509,331887.1973758652,331887.1973758652
,01/08/2022,1659312000,557929073.057481,557929073.057481,557929073.057481,557929073.057481,331993.92639120825,331993.92639120825
,02/08/2022,1659398400,545597481.8787256,545597481.8787256,545597481.8787256,545597481.8787256,332243.8019917217,332243.8019917217
,03/08/2022,1659484800,532269558.37804365,532269558.37804365,532269558.37804365,532269558.37804365,333134.86279418913,333134.86279418913
,04/08/2022,1659571200,546699551.213513,546699551.213513,546699551.213513,546699551.213513,332892.61279418913,332892.61279418913
,05/08/2022,1659657600,536457606.9235781,536457606.9235781,536457606.9235781,536457606.9235781,332942.91853802494,332942.91853802494
,06/08/2022,1659744000,582515103.239352,582515103.239352,582515103.239352,582515103.239352,334882.72408641304,334882.72408641304
,07/08/2022,1659830400,563745838.935064,563745838.935064,563745838.935064,563745838.935064,335018.59415061475,335018.59415061475
,08/08/2022,1659916800,571429510.1414994,571429510.1414994,571429510.1414994,571429510.1414994,334789.9381552348,334789.9381552348
,09/08/2022,1660003200,584938486.6785265,584938486.6785265,584938486.6785265,584938486.6785265,328835.1191680589,328835.1191680589
,10/08/2022,1660089600,552906638.1819036,552906638.1819036,552906638.1819036,552906638.1819036,330420.977315969,330420.977315969
,11/08/2022,1660176000,618340343.377412,618340343.377412,618340343.377412,618340343.377412,329298.5452682263,329298.5452682263
,12/08/2022,1660262400,626389562.650041,626389562.650041,626389562.650041,626389562.650041,331132.21332059725,331132.21332059725
,13/08/2022,1660348800,654571750.2224143,654571750.2224143,654571750.2224143,654571750.2224143,334932.3813780685,334932.3813780685
,14/08/2022,1660435200,661266145.5472577,661266145.5472577,661266145.5472577,661266145.5472577,331979.24862681056,331979.24862681056
,15/08/2022,1660521600,641377441.103785,641377441.103785,641377441.103785,641377441.103785,328381.04656774184,328381.04656774184
,16/08/2022,1660608000,622649557.2138553,622649557.2138553,622649557.2138553,622649557.2138553,328055.614970419,328055.614970419
,17/08/2022,1660694400,624014633.9536579,624014633.9536579,624014633.9536579,624014633.9536579,328922.1379193305,328922.1379193305
,18/08/2022,1660780800,607898427.2855247,607898427.2855247,607898427.2855247,607898427.2855247,329015.23967760033,329015.23967760033
,19/08/2022,1660867200,599443359.107113,599443359.107113,599443359.107113,599443359.107113,328149.24899389787,328149.24899389787
,20/08/2022,1660953600,535922147.1507137,535922147.1507137,535922147.1507137,535922147.1507137,328697.8650859361,328697.8650859361
,21/08/2022,1661040000,523192479.05622184,523192479.05622184,523192479.05622184,523192479.05622184,331325.30701620673,331325.30701620673
,22/08/2022,1661126400,536574163.2681058,536574163.2681058,536574163.2681058,536574163.2681058,332581.7940621472,332581.7940621472
,23/08/2022,1661212800,540525293.7705902,540525293.7705902,540525293.7705902,540525293.7705902,333492.9008949841,333492.9008949841
,24/08/2022,1661299200,548212177.8977066,548212177.8977066,548212177.8977066,548212177.8977066,334334.83841515065,334334.83841515065
,25/08/2022,1661385600,559477506.5601526,559477506.5601526,559477506.5601526,559477506.5601526,335098.74074482516,335098.74074482516
,26/08/2022,1661472000,563812692.4551893,563812692.4551893,563812692.4551893,563812692.4551893,335285.46938028256,335285.46938028256
,27/08/2022,1661558400,500998474.1122733,500998474.1122733,500998474.1122733,500998474.1122733,332081.76402388426,332081.76402388426
,28/08/2022,1661644800,497326123.8589506,497326123.8589506,497326123.8589506,497326123.8589506,332586.2009449089,332586.2009449089
,29/08/2022,1661731200,480816512.2624356,480816512.2624356,480816512.2624356,480816512.2624356,335164.20409072796,335164.20409072796
,30/08/2022,1661817600,518109026.53888,518109026.53888,518109026.53888,518109026.53888,335793.37274221936,335793.37274221936
,31/08/2022,1661904000,519996848.9147373,519996848.9147373,519996848.9147373,519996848.9147373,335603.0881574874,335603.0881574874
,01/09/2022,1661990400,517109855.60703707,517109855.60703707,517109855.60703707,517109855.60703707,335641.7740494574,335641.7740494574
,02/09/2022,1662076800,523491888.1004907,523491888.1004907,523491888.1004907,523491888.1004907,331479.229576188,331479.229576188
,03/09/2022,1662163200,523260873.9646616,523260873.9646616,523260873.9646616,523260873.9646616,331488.27633774775,331488.27633774775
,04/09/2022,1662249600,514433046.0565439,514433046.0565439,514433046.0565439,514433046.0565439,330531.77633774775,330531.77633774775
,05/09/2022,1662336000,521620810.4035508,521620810.4035508,521620810.4035508,521620810.4035508,331120.54084474954,331120.54084474954
,06/09/2022,1662422400,545221324.6597842,545221324.6597842,545221324.6597842,545221324.6597842,329534.4418077655,329534.4418077655
,07/09/2022,1662508800,488768778.4472946,488768778.4472946,488768778.4472946,488768778.4472946,318540.65331549436,318540.65331549436
,08/09/2022,1662595200,517660274.53634065,517660274.53634065,517660274.53634065,517660274.53634065,318707.2646060278,318707.2646060278
,09/09/2022,1662681600,518647263.7867361,518647263.7867361,518647263.7867361,518647263.7867361,316526.2570712919,316526.2570712919
,10/09/2022,1662768000,542274174.8127999,542274174.8127999,542274174.8127999,542274174.8127999,316316.585282266,316316.585282266
,11/09/2022,1662854400,559967717.0004444,559967717.0004444,559967717.0004444,559967717.0004444,315764.7400150247,315764.7400150247
,12/09/2022,1662940800,544475186.3154467,544475186.3154467,544475186.3154467,544475186.3154467,311736.11798730487,311736.11798730487
,13/09/2022,1663027200,525081699.13413477,525081699.13413477,525081699.13413477,525081699.13413477,310568.7546262427,310568.7546262427
,14/09/2022,1663113600,476400647.8226608,476400647.8226608,476400647.8226608,476400647.8226608,303210.08141769026,303210.08141769026
,15/09/2022,1663200000,476961657.33098763,476961657.33098763,476961657.33098763,476961657.33098763,291782.1290985762,291782.1290985762
,16/09/2022,1663286400,439762424.8393131,439762424.8393131,439762424.8393131,439762424.8393131,298352.35780871595,298352.35780871595
,17/09/2022,1663372800,431278740.9366757,431278740.9366757,431278740.9366757,431278740.9366757,299206.1529590302,299206.1529590302
,18/09/2022,1663459200,435380771.0165128,435380771.0165128,435380771.0165128,435380771.0165128,299836.6259083735,299836.6259083735
,19/09/2022,1663545600,405140388.9853741,405140388.9853741,405140388.9853741,405140388.9853741,301479.632237003,301479.632237003
,20/09/2022,1663632000,421211647.2576794,421211647.2576794,421211647.2576794,421211647.2576794,307955.02698383457,307955.02698383457
,21/09/2022,1663718400,411414587.0702287,411414587.0702287,411414587.0702287,411414587.0702287,309176.2009425472,309176.2009425472
,22/09/2022,1663804800,386115026.99012667,386115026.99012667,386115026.99012667,386115026.99012667,310501.66220899276,310501.66220899276
,23/09/2022,1663891200,419311583.84895,419311583.84895,419311583.84895,419311583.84895,315808.5045633558,315808.5045633558
,24/09/2022,1663977600,416166429.2155,416166429.2155,416166429.2155,416166429.2155,315777.5790573711,315777.5790573711
,25/09/2022,1664064000,417567528.1288623,417567528.1288623,417567528.1288623,417567528.1288623,316485.2910275675,316485.2910275675
,26/09/2022,1664150400,411736345.9531737,411736345.9531737,411736345.9531737,411736345.9531737,315688.20851307164,315688.20851307164
,27/09/2022,1664236800,425557525.79627526,425557525.79627526,425557525.79627526,425557525.79627526,316646.8438530267,316646.8438530267
,28/09/2022,1664323200,425107205.9683278,425107205.9683278,425107205.9683278,425107205.9683278,316950.88572390313,316950.88572390313
,29/09/2022,1664409600,424118077.18186444,424118077.18186444,424118077.18186444,424118077.18186444,317532.08291109663,317532.08291109663
